CochleariaID	AthalianaID	orthologyEvidence	Athaliana_description
g9616.t1	AT4G29090.1	no orthogroup BLAST	Note=Ribonuclease H-like superfamily protein: conf_class=1: computational_description=Ribonuclease H-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9617.t1	ATMG01250.1	no orthogroup BLAST	
g9618.t1	AT5G59140.1	no orthogroup BLAST	Note=BTB/POZ domain-containing protein: conf_class=2: computational_description=BTB/POZ domain-containing protein: conf_rating=****: symbol=None: curator_summary=None: 
g9619.t1	AT4G29090.1	no orthogroup BLAST	Note=Ribonuclease H-like superfamily protein: conf_class=1: computational_description=Ribonuclease H-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9620.t1	AT4G17990.2	within orthogroup BLAST	Note=None: conf_class=2: computational_description=hypothetical protein: conf_rating=****: symbol=None: curator_summary=: 
g9621.t1	AT5G66060.1	1-2-1 orthogroup	Note=2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein: conf_class=3: computational_description=2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein: conf_rating=****: symbol=None: curator_summary=2-oxoglutarate-dependent dioxygenase: 
g9622.t1	AT5G66150.1	no orthogroup BLAST	Note=Glycosyl hydrolase family 38 protein: conf_class=6: computational_description=Glycosyl hydrolase family 38 protein: conf_rating=**: symbol=None: curator_summary=None: 
g9623.t1	AT3G29750.1	no orthogroup BLAST	Note=Eukaryotic aspartyl protease family protein: conf_class=8: computational_description=Eukaryotic aspartyl protease family protein: conf_rating=*: symbol=None: curator_summary=None: 
g9624.t1	AT5G66150.1	1-2-1 orthogroup	Note=Glycosyl hydrolase family 38 protein: conf_class=6: computational_description=Glycosyl hydrolase family 38 protein: conf_rating=**: symbol=None: curator_summary=None: 
g9625.t2	AT5G66160.1	1-2-1 orthogroup	Note=receptor homology region transmembrane domain ring H2 motif protein 1: curator_summary=Encodes a receptor homology region transmembrane domain, ring H2 motif protein involved in transport of storage proteins to protein storage vacuoles. Localized to endoplasmic reticulum and co-localizes with DIP positive vesicles and to the trans-golgi network when complexed with RMR2.: symbol=RMR1: full_name=receptor homology region transmembrane domain ring H2 motif protein 1: computational_description=receptor homology region transmembrane domain ring H2 motif protein 1: conf_class=2: conf_rating=****: 
g9626.t1	AT5G66170.2	no orthogroup RBH	Note=sulfurtransferase 18: curator_summary=Encodes a thiosulfate sulfurtransferase/rhodanese.: symbol=STR18: full_name=sulfurtransferase 18: computational_description=sulfurtransferase 18: conf_class=2: conf_rating=****: conf_class=4: conf_rating=***: 
g9627.t1	AT5G66240.2	1-2-1 orthogroup	Note=Transducin/WD40 repeat-like superfamily protein: computational_description=Transducin/WD40 repeat-like superfamily protein: conf_class=2: conf_rating=****: symbol=ULCS1: curator_summary=Encodes a WD40-repeat protein that interacts with the E3 Cullin Ring Ligase subunit DDB1a and is involved in secondary wall modification and thickening by regulating the degradation of specific proteins. RNAi-mediated silencing results in anther indehiscence and infertility.: conf_class=4: conf_rating=***: 
g9628.t1	AT1G77370.2	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=Glutaredoxin family protein: conf_rating=****: symbol=None: curator_summary=: 
g9629.t1	AT5G66290.2	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=hypothetical protein: conf_rating=****: symbol=None: curator_summary=: 
g9630.t1	AT5G66480.1	no orthogroup BLAST	Note=None: conf_class=2: computational_description=bacteriophage N4 adsorption B protein: conf_rating=****: symbol=None: curator_summary=None: 
g9631.t1	AT5G66500.1	1-2-1 orthogroup	Note=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_class=1: computational_description=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
